"Nombre de la columna","Descripción","Nombre del campo API","Tipo de Dato"
"DPTO","Departamento de Colombia","dpto","Texto"
"MPIO","Municipio de Colombia","mpio","Texto"
"CODIGO_DE_LA_ARL","Código de la administradora de riesgos laborales","codigo_de_la_arl","Texto"
"AÑO_DE_INFORME","Año del informe de la data publicada","a_o_de_informe","Texto"
"MES_DE_INFORME","Mes del informe de la información","mes_de_informe","Texto"
"ACTIVEC","Actividad económica del afiliado","activec","Texto"
"RELA_DEP","Relación trabajadores dependientes","rela_dep","Número"
"RELA_INDEP","Relaciones laborales trabajadores independientes","rela_indep","Número"
"PRESUACCIDETRASUCE","Presunto accidente de trabajo sucedido","presuaccidetrasuce","Número"
"MUERTES_REPOR_AT","Muertes de trabajadores reportadas por accidente de trabajo","muertes_repor_at","Número"
"NUEVAPENSIONIVA_R_AT","Nueva pensión Accidentes de trabajo","nuevapensioniva_r_at","Número"
"NUEVAPENSIONIVA_R_EL","Nueva pensión Enfermedad laboral","nuevapensioniva_r_el","Número"
"INCAPERMAPARCIAR_AT","Incapacidad permanente parcial reportada por accidente de trabajo","incapermaparciar_at","Número"
"INCAPERMAPARCIAR_EL","Incapacidad permanente parcial por enfermedad laboral","incapermaparciar_el","Número"
